Name	Mass	m/z	RT min	RT	Cel_1dil40_1-B,3_01_21146	Cel_1dil40_1-B,3_01_21151	Cel_1dil40_1-B,3_01_21156	Cel_1dil40_1-B,3_01_21161	Cel_1dil40_1-B,3_01_21166
Cluster_07314	467.2974493	490.2866703	4.295379452	450.6790753	2277.925293	2482.761963	2567.50415	2921.009033	2794.768799
Cluster_07315	467.2974379	490.2866589	5.471333809	486.0212137	1938.161865	1712.0979	1745.450562	1869.906372	1952.251221
Cluster_07316	467.3007883	490.2900093	28.2751161	1504.154248	2596.275146	2473.575684	2147.203613	2211.594482	2169.593994
Cluster_07323	472.2818249	490.3156509	31.59850734	1684.45385	1253.441528	1368.560791	1534.576538	1271.496948	1059.646973
Cluster_07325	489.3216947	490.3289707	29.65192525	1578.893921	3193.831787	2631.268066	2953.775635	3138.160889	3331.882324
Cluster_07350	491.1246098	492.1318858	15.0455666	781.7200448	86048.125	81310.14844	78850.11719	92976.45313	89583.41406
Cluster_07351	491.1238421	492.1311181	11.60304539	646.1819182	11629.95605	11143.41895	10845.3457	11780.8291	11097.07422
Cluster_07355	474.146464	492.18029	23.58683349	1241.468577	1350.494019	1490.608887	1619.749512	2331.610596	2032.484741
Cluster_07359	469.2250564	492.2142774	22.49041753	1178.660082	8076.885254	8839.748047	10562.31055	8514.793945	7294.80957
Cluster_07377	475.0625886	493.0964146	9.895662548	591.1892199	4305.983887	4352.967773	4245.243652	4469.012695	4351.972168
Cluster_07378	492.0925396	493.0998156	17.12016059	881.2560808	1153.172119	1178.180176	1164.806885	1285.307129	1091.741455
Cluster_07381	492.1400071	493.1472831	3.483694332	426.2846865	1702.719971	2101.85498	2584.178955	2995.641113	3465.436768
Cluster_07391	475.3142891	493.3481151	29.5391911	1572.774182	4612.640137	4629.973145	4280.881348	4484.833496	4800.231934
Cluster_07393	470.3697962	493.3590172	29.53959198	1572.795943	1217.909912	1369.112183	1216.256226	1245.825684	1373.385132
Cluster_07401	471.3068278	494.2960488	31.59660981	1684.350977	2197.009033	2653.263184	2374.041992	3302.714111	2403.117676
Cluster_07402	493.3173121	494.3245881	24.50580468	1294.030405	57355.78516	52441.84375	47880.41016	54352.14844	63045.84375
Cluster_07403	493.3173874	494.3246634	29.66245145	1579.465333	51756	52882.43359	46027.72266	53043.14063	55918.96484
Cluster_07405	493.3172977	494.3245737	25.03174133	1323.719177	187070.1563	173512.2188	161370.2969	176906.0781	181054.5781
Cluster_07407	476.3408115	494.3746375	32.0915789	1711.397693	2026.720947	2061.095703	1789.024658	1914.256958	2252.585693
Cluster_07411	494.1085627	495.1158387	14.84606848	773.1332766	2655.118164	2758.764404	2742.397217	2933.151855	3194.016602
