id	name	formula	inchikey	exactmass
M_mi3p_D_c	1D-myo-Inositol3-phosphate(2-)	C6H13O9P	INAPMGSXUVUWAF-PTQMNWPWSA-N	260.029719
M_mi4p_D_c	1D-myo-Inositol4-phosphate(2-)	C6H13O9P	INAPMGSXUVUWAF-CNWJWELYSA-N	260.029719
M_1mncam_n	1-Methylnicotinamide	C7H9N2O	LDHMAVIPBRSVRG-UHFFFAOYSA-O	137.0709393
M_1pyr5c_m	(S)-1-Pyrroline-5-carboxylate	C5H7NO2	DWAKNKKXGALPNW-BYPYZUCNSA-N	113.0476785
M_fpram_c	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H16N3O8P	PMCOGCVKOAOZQM-ZRTZXPPTSA-N	313.0675015
M_dkmpp_c	2,3-diketo-5-methylthio-1-phosphopentane(2-)	C6H11O6PS	HKEAOVFNWRDVAJ-UHFFFAOYSA-N	242.0013962
M_20HETE_c	20-Hydroxyeicosatetraenoicacid	C20H32O3	NNDIXBJHNLFJJP-DTLRTWKJSA-N	320.2351449
M_xol25oh_c	25-Hydroxycholesterol	C27H46O2	INBGSXNNRGWLJU-ZHHJOTBYSA-N	402.3497807
M_xol27oh_c	27-Hydroxycholesterol	C27H46O2	FYHRJWMENCALJY-CCDZVGGQSA-N	402.3497807
M_cmusa_c	2-Amino-3-carboxymuconatesemialdehyde	C7H7NO5	KACPVQQHDVBVFC-UHFFFAOYSA-N	185.0324223
M_ahdt_n	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate	C9H16N5O13P3	DGGUVLXVLHAAGT-XINAWCOVSA-N	494.9957466
M_amuco_c	2-Aminomuconate(2-)	C6H7NO4	ZRHONLCTYUYMIQ-TZFCGSKZSA-N	157.0375077
M_am6sa_c	2-Aminomuconate6-semialdehyde	C6H7NO3	QCGTZPZKJPTAEP-REDYYMJGSA-N	141.0425931
M_dad_2_n	2-deoxyadenosine	C10H13N5O3	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	251.1018393
M_2dr1p_c	2-Deoxy-D-ribose1-phosphate	C5H11O7P	KBDKAJNTYKVSEK-PYHARJCCSA-N	214.0242397
M_2dr5p_m	2-Deoxy-D-ribose5-phosphate	C5H11O7P	ALQNUOMIEBHXQG-CRCLSJGQSA-N	214.0242397
M_2doxrib_m	2-deoxyribose	C5H10O4	ASJSAQIRZKANQN-CRCLSJGQSA-N	134.0579088
M_2hb_c	2-Hydroxybutyrate	C4H8O3	AFENDNXGAFYKQO-UHFFFAOYSA-N	104.0473441
M_2hyoxplac_c	2-Hydroxyphenylacetate	C8H8O3	CCVYRRGZDBSHFU-UHFFFAOYSA-N	152.0473441
M_2kmb_c	2-keto-4-methylthiobutyrate	C5H8O3S	SXFSQZDSUWACKX-UHFFFAOYSA-N	148.0194153
M_2maacoa_m	2-Methyl-3-acetoacetyl-CoA(4-)	C26H42N7O18P3S	NHNODHRSCRALBF-NQNBQJKNSA-N	865.1519897
M_2mop_m	2-Methyl-3-oxopropanoate	C4H6O3	VOKUMXABRRXHAR-UHFFFAOYSA-N	102.0316941
M_2mbcoa_m	2-Methylbutanoyl-CoA(4-)	C26H44N7O17P3S	LYNVNYDEQMMNMZ-XGXNYEOVSA-N	851.1727252
M_2mp2coa_c	2-Methylprop-2-enoyl-CoA(4-)	C25H40N7O17P3S	NPALUEYCDZWBOV-NDZSKPAWSA-N	835.141425
M_npmmoxbq_m	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol	C53H82O3	GLNRSJSLTUCXTP-IQSNHBBHSA-N	766.6263965
M_npmoxbq_m	2-nonaprenyl-6-methoxy-1,4-benzoquinol	C52H80O3	SKAOREKNLOKWTC-JSGWLJPKSA-N	752.6107464
M_2oxoadp_m	2-Oxoadipate(2-)	C6H8O5	FGSBNBBHOZHUBO-UHFFFAOYSA-N	160.0371734
M_2obut_c	2-Oxobutanoate	C4H6O3	TYEYBOSBBBHJIV-UHFFFAOYSA-N	102.0316941
M_akg_e	2-Oxoglutarate(2-)	C5H6O5	KPGXRSRHYNQIFN-UHFFFAOYSA-N	146.0215233
M_pad_c	2-Phenylacetamide	C8H9NO	LSBDFXRDZJMBSC-UHFFFAOYSA-N	135.0684139
M_2pglyc_c	2-Phosphoglycolate(3-)	C2H5O6P	ASCFNMCAHFUBCO-UHFFFAOYSA-N	155.9823749
M_2thexd_c	trans-hexadec-2-enal	C16H30O	KLJFYXOVGVXZKT-CCEZHUSRSA-N	238.2296656
M_34hpl_c	3-(4-Hydroxyphenyl)lactate	C9H10O4	JVGVDSSUAVXRDY-UHFFFAOYSA-N	182.0579088
M_34hpp_n	3-(4-Hydroxyphenyl)pyruvate	C9H8O4	KKADPXVIOXHVKN-UHFFFAOYSA-N	180.0422587
M_34dhphe_c	3,4-Dihydroxy-L-phenylalanine	C9H11NO4	WTDRDQBEARUVNC-LURJTMIESA-N	197.0688078
M_34dhmald_c	3,4-Dihydroxymandelaldehyde	C8H8O4	YUGMCLJIWGEKCK-UHFFFAOYSA-N	168.0422587
M_34dhpac_c	3,4-dihydroxyphenylacetaldehyde	C8H8O3	IADQVXRMSNIUEL-UHFFFAOYSA-N	152.0473441
M_34dhpha_c	3,4-dihydroxyphenylacetate	C8H8O4	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	168.0422587
M_34dhoxpeg_c	3,4-Dihydroxyphenylethyleneglycol	C8H10O4	MTVWFVDWRVYDOR-UHFFFAOYSA-N	170.0579088
M_8bppoldm_n	3,5-bisdiphosphoinositol-1D-myo-inositol(2,3,4,6)tetrakisphosphate(13-)	C6H20O30P8	HHQOOERQSFJGEP-ZSIQDKGESA-N	819.7940352
M_35cgmp_n	3,5-CyclicGMP	C10H12N5O7P	ZOOGRGPOEVQQDX-UUOKFMHZSA-N	345.0474347
M_35diotyr_c	3,5-Diiodo-L-tyrosine	C9H9I2NO3	NYPYHUZRZVSYKL-ZETCQYMHSA-N	432.86718
